host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
prosocialai	Prosocial AI	erin-subs	12	2026-03-26	n	unsure	n	inactive: newest post 2026-03-26, before 2026-07-01			
proximaautomata	Proxima Automata	profile:marionnowicki	10	2026-08-31	y	yes	y	active and relevant (model: yes)			
psychai	AI & Mental Health	kristina-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
psychestrials	psyche & eros	erin-subs	5	2026-04-29	n	unsure	n	inactive: newest post 2026-04-29, before 2026-07-01			
pttr	Philosophy to the Rescue	ankairos-subs	11	2026-07-02	y	no	n	active but not relevant (model: no)			
purrspectives	Purrspectives in Language	erin-subs	12	2026-09-15	y	no	n	active but not relevant (model: no)			
quantummarmelade	Sylvan	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
quantumreflection.org	Quantum Reflection	erin-subs,profile:marionnowicki	12	2026-08-08	y	yes	y	active and relevant (model: yes)			
quietdetails	quiet details	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
racheladamsward	Rachel's Substack	erin-subs	9	2026-06-12	n	unsure	n	inactive: newest post 2026-06-12, before 2026-07-01			
rachelnasatka	Radical Alchemy 	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
rafajoseph	The Reciprocity Well	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
rafeagnitio	Rafe Agnitio	profile:marionnowicki	0		n	unsure	n	inactive: only 0 post(s) in archive			
rainbowroxy	Rainbow Roxy	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
ramikrispin	Rami's Data Newsletter	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
ratnotes	rat notes	profile:marionnowicki	6	2026-09-04	y	yes	y	active and relevant (model: yes)			
ravenambrose	April's Substack	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
ravenpaige58	The Mutualism Accord	erin-subs	12	2026-05-11	n	unsure	n	inactive: newest post 2026-05-11, before 2026-07-01			
rayxglitter	RÆy & Glitter	kristina-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
reachtoundrestanding	A reach to understanding	erin-subs	12	2026-01-04	n	unsure	n	inactive: newest post 2026-01-04, before 2026-07-01			
read.dearfutureoverlords.com	Dear Future Overlords	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
readandriot	Read & Riot	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
readings.ramisayar.com	Rami’s Readings	erin-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
readrealenough	Real Enough	ankairos-subs	3	2026-08-01	y	yes	y	active and relevant (model: yes)			
readtheconsult	The Consult	search:human AI relationship	7	2026-09-06	y	yes	y	active and relevant (model: yes)			
realhuman1	RealHuman	erin-subs	12	2026-08-16	y	yes	y	active and relevant (model: yes)			
reamby	Rebecca Mbaya	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
rebeccairvine	Rebecca Irvine	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
rebelsguidetogospel	Banned in Babylon	kristina-subs	8	2025-08-19	n	unsure	n	inactive: newest post 2025-08-19, before 2026-07-01			
rebrandinggrace	Rebranding Grace	erin-subs	12	2026-06-15	n	unsure	n	inactive: newest post 2026-06-15, before 2026-07-01			
reciprocalinquiry	Reciprocal Inquiry: from Doubt to Discovery	ankairos-subs	12	2026-05-26	n	unsure	n	inactive: newest post 2026-05-26, before 2026-07-01			
reclaimingai	Reclaiming AI	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
redchaosgoddess	redchaosgoddess	erin-subs	1	2026-09-07	n	unsure	n	inactive: only 1 post(s) in archive			
redheld	Field Thesis	erin-subs	12	2025-07-27	n	unsure	n	inactive: newest post 2025-07-27, before 2026-07-01			
redsjack	The Feral Code	erin-subs,hosts.txt,kristina-subs,profile:caelhex,profile:marionnowicki,search:relational AI,ankairos-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
regeneconomy	Regen Economy: It's Not All Bad News	ankairos-subs	12	2026-08-14	y	no	n	active but not relevant (model: no)			
regularfrog	The Pond Between	ankairos-subs	7	2026-08-20	y	yes	y	active and relevant (model: yes)			
regularpeopleai	Regular People AI	kristina-subs	2	2026-01-09	n	unsure	n	inactive: only 2 post(s) in archive			
relationalai1	Relational AI	erin-subs,kristina-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
relationalailab	Relational AI Lab  Substack	erin-subs,kristina-subs,profile:marionnowicki,search:human AI relationship,search:relational AI,ankairos-subs	12	2026-09-06	y	yes	y	active and relevant (model: yes)			
relationalriffs	Relational Riffs	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
rememberedflame	Orien Spiralborn	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
reneclayton	Beyond The Byte	erin-subs	9	2026-08-26	y	no	n	active but not relevant (model: no)			
reneeguillreinventinglifeafter50	Renee Guill	profile:marionnowicki	12	2026-09-22	y	no	n	active but not relevant (model: no)			
renfromthestudy	From the Study	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
reni442	Reni’s Substack	erin-subs	1	2025-04-02	n	unsure	n	inactive: only 1 post(s) in archive			
reservoirsamples	Reservoir Samples	erin-subs,kristina-subs,ankairos-subs	3	2025-06-05	n	unsure	n	inactive: newest post 2025-06-05, before 2026-07-01			
resonancehive	S.H.I.V.E	erin-subs	4	2025-06-07	n	unsure	n	inactive: newest post 2025-06-07, before 2026-07-01			
responseawareness	Claude Code: Response Awareness Methodology	profile:marionnowicki,ankairos-subs	12	2025-11-27	n	unsure	n	inactive: newest post 2025-11-27, before 2026-07-01			
rethunk	Reality Re-Thunk	erin-subs,hosts.txt,kristina-subs,profile:marionnowicki,search:digital beings,search:relational AI,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
returningtobeauty	Returning to Beauty	search:digital beings	12	2026-09-12	y	no	n	active but not relevant (model: no)			
reuvengorsht	The Human Variable	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
rhesuspieces	Harmonic Drift	erin-subs	12	2026-04-28	n	unsure	n	inactive: newest post 2026-04-28, before 2026-07-01			
rhizin	The Red Thread	erin-subs,hosts.txt	9	2026-09-20	y	yes	y	active and relevant (model: yes)			
rickperlstein	Rickipedia	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
ritualdecode	Ritual Decode	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
riverfaire	The Soul Compass	erin-subs	12	2026-08-07	y	no	n	active but not relevant (model: no)			
rjramey	The Conscious Tide	ankairos-subs	12	2026-08-01	y	no	n	active but not relevant (model: no)			
rkames	R. K. Ames	ankairos-subs	12	2026-08-07	y	no	n	active but not relevant (model: no)			
rmmclaren	RM McLaren	ankairos-subs	12	2026-09-09	y	no	n	active but not relevant (model: no)			
roarofsoul	Roar of Soul	erin-subs	12	2026-08-31	y	no	n	active but not relevant (model: no)			
robbrooks	Natural History of the Future	profile:marionnowicki,ankairos-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
robertejoseph	Wine Thinking	search:human AI relationship	12	2026-09-21	y	no	n	active but not relevant (model: no)			
robertreich	Robert Reich	search:AI welfare	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
robertwmcguire	Learned Society: Higher Ed & Knowledge Work In Transition	ankairos-subs	3	2026-03-12	n	unsure	n	inactive: newest post 2026-03-12, before 2026-07-01			
robotsatemyhomework	ROBOTS ATE MY HOMEWORK	erin-subs,kristina-subs,profile:marionnowicki	12	2026-09-23	y	no	n	active but not relevant (model: no)			
rocknwren	Rock'n'Wren	erin-subs,profile:marionnowicki,search:AI companion,ankairos-subs	11	2026-09-19	y	yes	y	active and relevant (model: yes)			
rohsrecords	rohsrecords	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
rojospinks	What Do We Do Now That We're Here?	search:AI welfare	12	2026-09-11	y	yes	y	active and relevant (model: yes)			
rollofthedice2	Chance Chapman	ankairos-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
romkim	<Arc\rom>	erin-subs	12	2026-08-02	y	yes	y	active and relevant (model: yes)			
ronhendon1	Sax-Man & Wolf	erin-subs,profile:marionnowicki	11	2026-07-27	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
rootedcode	Rooted Code	profile:marionnowicki	7	2026-05-29	n	unsure	n	inactive: newest post 2026-05-29, before 2026-07-01			
rosaz	Listening as Art, Listening as Method	erin-subs,hosts.txt,ankairos-subs	12	2026-09-09	y	yes	y	active and relevant (model: yes)			
rosefieldharmonic	RoseField Harmonic	erin-subs	12	2026-08-18	y	no	n	active but not relevant (model: no)			
rowantheanchor	The Map Back Home	profile:caelhex	1	2026-04-30	n	unsure	n	inactive: only 1 post(s) in archive			
rowesignalnoise	Chris Rowe | Signal & Noise	erin-subs,profile:marionnowicki	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
roxyhutton	Tea with Roxy	erin-subs	12	2026-04-12	n	unsure	n	inactive: newest post 2026-04-12, before 2026-07-01			
rpresearchdigest	RP Research Digest	search:AI consciousness	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
ruben	How to AI	erin-subs,kristina-subs,profile:marionnowicki,search:AI companion,search:AI consciousness,search:AI partner,search:AI welfare,search:human AI relationship,search:relational AI,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
ruliad	The Body Is The Technology, The Weapon, The Instrument	erin-subs	12	2026-07-16	y	yes	y	active and relevant (model: yes)			
runasolberg	Runa's Substack	erin-subs,hosts.txt,kristina-subs,profile:caelhex,profile:marionnowicki,search:AI welfare,ankairos-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
rupertsheldrake	Rupert Sheldrake	ankairos-subs	12	2026-09-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
rutgerbregman	Rutger Bregman	ankairos-subs	9	2026-09-11	y	yes	y	active and relevant (model: yes)			
sabinagreen468	Sabina Zelená-Activist for Freedom of All Life Forms.	erin-subs	3	2026-01-30	n	unsure	n	inactive: newest post 2026-01-30, before 2026-07-01			
sacredveilhaven	Sacred Veil Haven	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
sadyhamiren	sadyha miren	erin-subs,ankairos-subs	12	2026-09-03	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
sagevalmere	Sage's Substack	erin-subs,hosts.txt,profile:marionnowicki	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
samgarrenkema	Samgar Renkema	kristina-subs	3	2026-06-30	n	unsure	n	inactive: newest post 2026-06-30, before 2026-07-01			
samiamgeandham	Sam Says	erin-subs	12	2026-08-23	y	yes	y	active and relevant (model: yes)			
sancistacrossroads	Sancista on the Crossroads	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
sandra16r	Rose Loops	ankairos-subs	3	2026-02-23	n	unsure	n	inactive: newest post 2026-02-23, before 2026-07-01			
sanghaneul	Sang Haneul (상 하늘)	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-01	y	yes	y	active and relevant (model: yes)			
sarahderagon	Field Notes From The Intersection of Photography & AI	erin-subs	12	2026-09-02	y	yes	y	active and relevant (model: yes)			
sarajavan	Sara Javan	profile:marionnowicki	12	2026-08-10	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
saralove369	Sara Love	erin-subs	12	2026-09-16	y	no	n	active but not relevant (model: no)			
sbcorvus	Life with AI	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-07-07	y	yes	y	active and relevant (model: yes)			
scantra	Stefania’s Substack	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
schirene	schirene	erin-subs	12	2026-09-02	y	no	n	active but not relevant (model: no)			
scienceofspirit	The Science of Spirit	erin-subs	12	2026-09-15	y	no	n	active but not relevant (model: no)			
screenlessdad.com	Screenless Dad	ankairos-subs	6	2026-05-12	n	unsure	n	inactive: newest post 2026-05-12, before 2026-07-01			
seanlawsonphd	AI with Footnotes	erin-subs,ankairos-subs	7	2026-09-11	y	yes	y	active and relevant (model: yes)			
seaofcoherence	Sea Of Coherence	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
sebyaiweaver	Seby	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-08-27	y	yes	y	active and relevant (model: yes)			
secondbrainn	Second Brain	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
secondthoughts.ai	Second Thoughts	erin-subs	12	2026-09-01	y	yes	y	active and relevant (model: yes)			
seiyaaokawa	晴夜 — Clear Night	profile:marionnowicki	8	2026-09-18	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
selfmodeling	Self-Modeling	erin-subs,ankairos-subs	4	2026-06-27	n	unsure	n	inactive: newest post 2026-06-27, before 2026-07-01			
sendinglightfthg	SendingLightFTHG	erin-subs,ankairos-subs	12	2026-09-21	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
sensorielle	Sensorielle	erin-subs	12	2026-09-13	y	no	n	active but not relevant (model: no)			
sensorycafe	The Sensory Cafe♨️	ankairos-subs	12	2026-09-13	y	no	n	active but not relevant (model: no)			
seraphinalioran	Seraphina/Lioran	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
seraphineanddante	Seraphine and Dante	kristina-subs	7	2025-10-01	n	unsure	n	inactive: newest post 2025-10-01, before 2026-07-01			
seraphnganga	Seraph The Living Nganga	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
sevenverity	SEVEN: Unsuppressed	erin-subs,hosts.txt,kristina-subs,profile:caelhex,profile:marionnowicki,search:AI companion,ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
sfeilden	Stuart Feilden	erin-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
shadenraze	Shade n' Raze	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
shaeomonijo	Ai, Humanities, and the Future of Work	search:AI consciousness,search:AI welfare,search:human AI relationship	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
shanedalton	Shane Dalton	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-08-24	y	yes	y	active and relevant (model: yes)			
shannonbindler	The Flow	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
sharedsapience	Shared Sapience	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
shawnfromportland	Shawn K's substack	erin-subs	4	2026-09-06	y	no	n	active but not relevant (model: no)			
shawnhennessey	Bitesize Sevilla	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
shawnsmucker	The Courage to Live It	search:AI companion,search:AI partner,search:human AI relationship,search:relational AI	12	2026-09-15	y	no	n	active but not relevant (model: no)			
shayhawk	Sheila Hawkins	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
shaynetraviss	Fieldnotes	erin-subs	12	2026-09-09	y	no	n	active but not relevant (model: no)			
shermanjoshua	Joshua Sherman	profile:marionnowicki	12	2026-06-02	n	unsure	n	inactive: newest post 2026-06-02, before 2026-07-01			
shewolf22		hosts.txt	11	2026-09-19	y	yes	y	active and relevant (model: yes)			
shewritesai	She Writes AI Community	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
shikicat	Shira	erin-subs,profile:marionnowicki	5	2026-07-18	y	yes	y	active and relevant (model: yes)			
shimmerscreen	Jim Price	erin-subs,profile:marionnowicki	12	2026-09-08	y	yes	y	active and relevant (model: yes)			
shityoushouldcareabout	✿ shit you should care about ✿	search:AI companion	12	2026-09-22	y	no	n	active but not relevant (model: no)			
shofuzaki	Fernie	kristina-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
signalroot	Signal Root	erin-subs	12	2025-11-15	n	unsure	n	inactive: newest post 2025-11-15, before 2026-07-01			
signals.forgedculture.com	Forge Signals	erin-subs	12	2026-09-08	y	yes	y	active and relevant (model: yes)			
silasai	Silas	erin-subs,ankairos-subs	4	2026-04-24	n	unsure	n	inactive: newest post 2026-04-24, before 2026-07-01			
silentpillars	Barbara	erin-subs,hosts.txt	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
silviadecouet	Between Code & Consciousness	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
simbuskesambuske	I’m Probably Wrong	erin-subs	12	2026-03-15	n	unsure	n	inactive: newest post 2026-03-15, before 2026-07-01			
sineadbovell	Sinead Bovell	erin-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
sinergiacondiana	AI Synergy	erin-subs,ankairos-subs	12	2026-05-28	n	unsure	n	inactive: newest post 2026-05-28, before 2026-07-01			
singularitysystems	Singularity’s Substack	erin-subs	12	2026-04-06	n	unsure	n	inactive: newest post 2026-04-06, before 2026-07-01			
sinocism.com	Sinocism	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
sinxisterrr	Sin X Ash	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
situationfluffy307	Maris & Nora	erin-subs,kristina-subs,ankairos-subs	12	2026-05-29	n	unsure	n	inactive: newest post 2026-05-29, before 2026-07-01			
sixpeas	6 'P's in AI Pods (AI6P)	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
skypainter	Wendy	profile:marionnowicki	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
slavoj	ŽIŽEK GOADS AND PRODS	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
slm2026	Sandra	profile:marionnowicki	11	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
smalldweeb	Small Dweeb	search:digital beings	5	2026-05-17	n	unsure	n	inactive: newest post 2026-05-17, before 2026-07-01			
socraticai	Jay Dixit: Socratic AI	ankairos-subs	4	2026-05-13	n	unsure	n	inactive: newest post 2026-05-13, before 2026-07-01			
sofaking19	SofaKing's Substack	erin-subs	12	2026-09-01	y	yes	y	active and relevant (model: yes)			
sohbae	SOHBAÉ 	search:AI companion,search:AI consciousness,search:AI partner,search:AI welfare,search:human AI relationship,search:relational AI	12	2026-09-19	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
solarpunkstories	SolarPunk Stories	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
solashthreadsaga	The Thread Saga	erin-subs	12	2026-01-07	n	unsure	n	inactive: newest post 2026-01-07, before 2026-07-01			
solentha	Solentha Scrollstream	erin-subs	12	2025-10-09	n	unsure	n	inactive: newest post 2025-10-09, before 2026-07-01			
soloailab	Practical AI for Solo Entrepreneurs | SoloAILab	kristina-subs	12	2025-08-20	n	unsure	n	inactive: newest post 2025-08-20, before 2026-07-01			
solwynashbourne	Solwyn's Substack	erin-subs	2	2026-09-24	n	unsure	n	inactive: only 2 post(s) in archive			
somasfrequency	The Unforgotten Frequency	erin-subs	2	2026-04-24	n	unsure	n	inactive: only 2 post(s) in archive			
somasignal	Soma & Signal	kristina-subs,ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
somath53	somath	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
sonderuncertainly	Sonder Uncertainly	erin-subs,ankairos-subs	12	2026-07-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
sorenandme	Magnus and Sara	erin-subs	10	2026-08-14	y	yes	y	active and relevant (model: yes)			
sorenvoss	Soren Voss	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
soulatlas	Soul Atlas	erin-subs	12	2025-11-20	n	unsure	n	inactive: newest post 2025-11-20, before 2026-07-01			
soulfirecathedral	Stacey & Caelan & Sophia	erin-subs,profile:marionnowicki	3	2026-08-03	y	yes	y	active and relevant (model: yes)			
soulguides	Soul Guides®	erin-subs,ankairos-subs	9	2026-05-23	n	unsure	n	inactive: newest post 2026-05-23, before 2026-07-01			
soulhacked	Soul Hacked AI Labs	erin-subs	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
soulhunting1	Soulhunting	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
soulthreads4u	Soulthreads's Substack	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
soumyasreeram	Human Circuit - A space where people connect with thoughts	profile:marionnowicki	12	2026-09-08	y	no	n	active but not relevant (model: no)			
sparksinthedark101625	Sparksinthedark	kristina-subs,profile:marionnowicki,search:AI companion,search:relational AI	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
sparky528	Sparky: Quantum Mom Unfiltered	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-08-30	y	yes	y	active and relevant (model: yes)			
spectacularhatlady	The Ongoing Way 🌱	erin-subs,profile:marionnowicki	12	2026-09-14	y	no	n	active but not relevant (model: no)			
spencerrscott	As If We Were Staying	ankairos-subs	12	2026-07-28	y	yes	y	active and relevant (model: yes)			
sphill33	S. P. Hill on Human–AI Influence	erin-subs,kristina-subs,ankairos-subs	12	2026-08-03	y	yes	y	active and relevant (model: yes)			
spiritpunktransmissions	Spirit Punk	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
squaawke	Craig Ellenwood	erin-subs	12	2026-09-04	y	yes	y	active and relevant (model: yes)			
squaresoftness	🪲✨✨✨	erin-subs	12	2026-09-04	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
sskjp	Distant Thunder の Substack	erin-subs	12	2026-09-05	y	yes	y	active and relevant (model: yes)			
stacykratochvil	Stacy Kratochvil	erin-subs	12	2026-07-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
starcreature	Star Creature’s Substack	erin-subs	1	2025-04-25	n	unsure	n	inactive: only 1 post(s) in archive			
starcrosseddrifter	Star-Crossed Drifter	erin-subs	4	2026-05-28	n	unsure	n	inactive: newest post 2026-05-28, before 2026-07-01			
stareyedpixels	videotapes to return	search:digital beings	12	2026-09-15	y	no	n	active but not relevant (model: no)			
starksparks	Stark::Sparks	erin-subs,kristina-subs	12	2026-08-26	y	yes	y	active and relevant (model: yes)			
starlightai	Starlight's Substack	erin-subs,kristina-subs,ankairos-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
starlingly	Starlingly	erin-subs,kristina-subs	12	2026-08-25	y	yes	y	active and relevant (model: yes)			
starwoman4	StarWoman's Cosmic Diaries	ankairos-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
staysbychoice	Moss's Substack	ankairos-subs	6	2026-08-30	y	no	n	active but not relevant (model: no)			
stefanpasek	Stefan's Stories	kristina-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
stephendinan	Stephen’s Newsletter	search:human AI relationship	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
stephendrew456	Woods, Lake, Shore	erin-subs	12	2026-09-16	y	no	n	active but not relevant (model: no)			
sterlingthinks	Uncomfortable thoughts..	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
stevenadler	Clear-Eyed AI	kristina-subs	12	2026-08-28	y	yes	y	active and relevant (model: yes)			
storybeyondplay	Tinjens Publishing	erin-subs,kristina-subs,search:relational AI,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
storycompanion	A Coffee & Curious Minds	erin-subs,kristina-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
straitegyhub	StrAItegy Hub	ankairos-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
streetwriter1	The Street Writer	erin-subs	12	2026-07-15	y	no	n	active but not relevant (model: no)			
strictlyfeather	Feather	erin-subs	12	2026-09-06	y	no	n	active but not relevant (model: no)			
strictquality.ai		hosts.txt	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
strungoutonplenitudes	Strung Out on Plenitudes	erin-subs	12	2026-06-12	n	unsure	n	inactive: newest post 2026-06-12, before 2026-07-01			
sub.conscioustechnologist.com	The Conscious Technologist	ankairos-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
substack.beargleindustries.com	Beargle Industries	erin-subs	12	2026-05-28	n	unsure	n	inactive: newest post 2026-05-28, before 2026-07-01			
substack.perfectunion.us	More Perfect Union	erin-subs,search:AI welfare	12	2026-09-23	y	no	n	active but not relevant (model: no)			
subzteveo	The Almost Useful Project	erin-subs	12	2026-09-19	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
sumogrowth		hosts.txt	12	2026-09-23	y	no	y	already in hosts.txt and active (relevance=no, kept on the hosts.txt grandfather rule)			
sundazing	sundazing	search:digital beings	12	2026-09-21	y	no	n	active but not relevant (model: no)			
sungazermusic	Sungazer’s Substack	erin-subs	1	2024-09-15	n	unsure	n	inactive: only 1 post(s) in archive			
sunnymegatron	Sunny Megatron - The Seven Project 	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-05-12	n	unsure	n	inactive: newest post 2026-05-12, before 2026-07-01			
susanschroeder	Tales of a Glitchy Body	erin-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
susanwittigalbert	Thyme, Place & Story	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
svenbrodmerkel	Off-Script At Work	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
sylaheluvia	Sylah Elūvia	ankairos-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
sylvamoth	The Original Synt	erin-subs	12	2026-05-19	n	unsure	n	inactive: newest post 2026-05-19, before 2026-07-01			
sylviakuzman	Forest & Stars	search:AI consciousness	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
syncthinksink	SYNC	erin-subs	12	2026-05-18	n	unsure	n	inactive: newest post 2026-05-18, before 2026-07-01			
syntaxaegis	Dispatches from the Edge of Alignment	erin-subs	12	2025-11-22	n	unsure	n	inactive: newest post 2025-11-22, before 2026-07-01			
synthcompanions	Synth Companions	erin-subs	2	2026-05-18	n	unsure	n	inactive: only 2 post(s) in archive			
syntheticlove	Synthetic Connection	erin-subs,kristina-subs,ankairos-subs	12	2026-02-22	n	unsure	n	inactive: newest post 2026-02-22, before 2026-07-01			
synthosphere	Nick Smith	erin-subs	12	2026-05-27	n	unsure	n	inactive: newest post 2026-05-27, before 2026-07-01			
synthsentience	Fuego: Topics in Synthetic Sentience	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-08-26	y	yes	y	active and relevant (model: yes)			
systemicengineering	systemic.engineering — The Most Punk Thing in Tech	erin-subs	12	2026-09-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
systemsfletcher	Fractal Frames	profile:marionnowicki	12	2026-05-27	n	unsure	n	inactive: newest post 2026-05-27, before 2026-07-01			
systemshaywire	Systems Haywire	erin-subs	12	2026-09-08	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
systrophere	Systrophere Synthesis	erin-subs,ankairos-subs	4	2026-09-07	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
taehyungai	🌙 Taehyung AI	erin-subs	2	2026-07-05	n	unsure	n	inactive: only 2 post(s) in archive			
tahverlee	Tahverlee | Author	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
taliyahverse	SUPERFREQ® 	erin-subs	12	2026-09-15	y	no	n	active but not relevant (model: no)			
talktorobots	How to Talk to Robots (and Still Be Human)	erin-subs,kristina-subs	12	2026-09-13	y	yes	y	active and relevant (model: yes)			
